code,type,label_en,describe
#cafe,activity,Coffee,"Go to a café to relax, chat, or enjoy drinks."
#food,activity,Food,"Go out to eat — restaurants, street food, casual dining."
#movie,activity,Movie,Watch a movie at the cinema.
#shopping,activity,Shopping,Enjoy going shopping as a leisure activity.
#entertainment,activity,Entertainment,"Activities like karaoke, bowling, arcade games, etc."
#study,activity,Studying,Studying or working at a place.
#photo,activity,Photos,Taking pictures.
#drinks,activity,Drinks,Enjoy drinking 
#dating,activity,Dating,A date activity — cozy spots for couples.
#takeaway,activity,Takeaway,Sharing quick and convenient food to-go
#snacks,activity,Snacks,Small bites for anytime hunger.
#walking,activity,Walking,Casual walk outside.
#workshop,activity,Workshop,A place hosting creative workshops.
#karaoke,activity,Karaoke,A place for singing and group fun.
#streetfood,activity,Streetfood,Local food from small stalls.
#visit,activity,Visit,Discover places through activities.
#bar,activity,Bar,Cheers to good moments.
#moment ,duration,Under 1 Hours,"A quick visit or short stop, usually under one hour."
#few_hours,duration,1 Hours To 3 Hours,"A medium–length stay, suitable for relaxing, working, or enjoying a full meal."
#long_time,duration,Over 3 Hours,"A long visit for deep relaxation, studying, hanging out, or extended activities."
#outdoor,space,Outdoor,"Walking in parks, strolling outside, scenery spots."
#indoor,space,Indoor,"Indoor activities like museums, libraries, exhibitions."
#rooftop,space,Rooftop,Place on a high floor with open air.
#morning,time,Morning,Best to visit in the morning.
#evening,time,Evening,Ideal for evening visits.
#late_night,time,Late Night,Food available very late.
#sunset,time,Sunset,Best during sunset hours.
#vintage,vibe,Vintage,"Old-style, classic look."
#modern,vibe,Modern,Clean and stylish design.
#cheap,vibe,Cheap Eats,"Low-price, budget food."
#quiet,vibe,Quiet,A calm place with low noise.
#chill,vibe,Chill,Easy-going and relaxed vibe.
#vibrant,vibe,Vibrant,A lively and energetic atmosphere.
#romantic,vibe,Romantic,Warm and lovely atmosphere.
#cozy,vibe,Cozy,Warm and comfortable place.
#luxury,vibe,Luxury,High-end and elegant feel.
#traditional,vibe,Traditional,A traditional or culturally classic dining experience.
#healthy,vibe,Healthy,Fresh and good-for-body food.
#culture,vibe,Culture,You enjoy local culture and traditions.
#minimalist,vibe,Minimalist,"Clean, simple, and uncluttered space."
#elegant,vibe,Elegant,Sophisticated and stylish atmosphere.
#dreamy,vibe,Dreamy,"Soft, whimsical, and magical feeling."
#youthful,vibe,Youthful,"Fresh, fun, and playful vibe."
#natural,vibe,Natural,"Inspired by nature, calming and organic."
#artistic,vibe,Artistic,Creative and visually expressive space.
#free_spirited,vibe,Free-spirited,"Relaxed, unconventional, and open-minded."
#rustic,vibe,Rustic,"Rough, earthy, and countryside charm."
#dramatic,vibe,Dramatic,"Bold, striking, and intense atmosphere."
#unique,vibe,Unique,Distinctive and one-of-a-kind character.
#pleasant,vibe,Pleasant,"Comfortable, enjoyable, and easy-going mood."
#rain,weather,Rain,Suitable for rainy weather or sheltered spaces.
#sunny,weather,Sunny,Best on sunny and bright days.
#windy,weather,Windy,Good when the weather is breezy.
#cloudy,weather,Cloudy,"Ideal for exploring cozy cafés or indoor spots during overcast weather, offering a calm and soft atmosphere."
